,x,
133,20.39457454,20.29778313
134,20.36473632,20.63976744
135,20.64663588,20.68816087
136,20.40814782,20.51828453
137,20.19956368,20.37154879
138,20.31710371,20.29778313
139,20.2256695,20.24845673
140,20.27566798,20.1246118
141,20.81452464,19.92485885
142,20.98367669,21.58703314
143,22.5858351,22.71563338
144,22.62164084,22.71563338
145,22.21110244,22.29349681
146,21.3064075,21.23676058
147,19.82121577,19.84943324
148,18.53631355,18.41195264
149,17.4124559,17.43559577
150,16.82413925,16.85229955
151,16.57051425,16.61324773
152,16.55539415,16.55294536
153,16.61416189,16.73320053
154,17.2646835,17.32050808
155,18.49266686,18.60107524
156,19.81088289,20
157,20.55868457,20.4450483
158,20.4827772,20.54263858
159,20.51070818,20.46948949
160,20.23316649,20.29778313
161,20.14645711,20.174241
162,20.09114724,20.09975124
163,20.03841287,20.04993766
164,20.06831998,19.97498436
165,20.63457273,20.37154879
166,21.61570196,21.65640783
167,22.55341273,22.75961335
168,22.78326567,22.6715681
169,22.15491845,22.15851981
170,21.2871418,21.1896201
171,19.79370884,19.89974874
172,18.49318222,18.54723699
173,17.47939623,17.43559577
174,16.76372689,17.05872211
175,16.82394314,16.79285562
176,16.6233013,16.673332
177,16.73844956,16.70329309
178,17.17920141,17.32050808
179,18.4851636,18.68154169
180,19.92293771,20.14944168
181,20.74019114,20.54263858
182,20.56670429,20.71231518
183,20.72201883,20.61552813
184,20.37608138,20.4450483
185,20.22637313,20.32240143
186,20.22781528,20.32240143
187,20.30858095,20.29778313
188,20.28088191,20.32240143
189,20.86182134,20.63976744
190,21.95197135,21.77154106
191,22.65411981,22.89104628
192,22.93550898,22.89104628
193,22.33969304,22.44994432
194,21.49860658,21.54065923
195,20.13575708,20.14944168
196,18.75073301,18.68154169
197,17.60622926,17.66352173
198,17.04262134,17.08800749
199,16.78852888,16.82260384
200,16.71805972,16.79285562
201,16.82808498,16.85229955
202,17.35003785,17.49285568
203,18.65243634,18.734994
204,19.95203097,20.02498439
205,20.61335073,20.27313493
206,20.30644069,20.29778313
207,20.34732628,20.09975124
208,19.90151351,19.8242276
209,19.64125349,19.59591794
210,19.56297877,19.49358869
