[1] "284 forecasted vs actual:  5.81315464425744 5.82008293035236"
[1] "285 forecasted vs actual:  5.89829818899509 5.87773578177964"
[1] "286 forecasted vs actual:  6.00512376596917 6.00388706710654"
[1] "287 forecasted vs actual:  6.0990429146466 6.1527326947041"
[1] "288 forecasted vs actual:  6.18249312687972 6.16751649088834"
[1] "289 forecasted vs actual:  6.13553569702834 6.13772705408623"
[1] "290 forecasted vs actual:  6.04557684710961 6.0591231955818"
[1] "291 forecasted vs actual:  5.93290951632623 5.95064255258773"
[1] "292 forecasted vs actual:  5.8085666556749 5.8171111599632"
[1] "293 forecasted vs actual:  5.69670160998064 5.71702770140622"
[1] "294 forecasted vs actual:  5.64564918264319 5.64897423816121"
[1] "295 forecasted vs actual:  5.6153532844105 5.62762111369064"
[1] "296 forecasted vs actual:  5.61643140071501 5.6021188208797"
[1] "297 forecasted vs actual:  5.60488234703753 5.61677109766657"
[1] "298 forecasted vs actual:  5.66880091502403 5.68697535633982"
[1] "299 forecasted vs actual:  5.82319867694467 5.8171111599632"
[1] "300 forecasted vs actual:  5.94749845642403 5.94803498918065"
[1] "301 forecasted vs actual:  6.00353579281359 6.04500531403601"
[1] "302 forecasted vs actual:  6.07481866674542 6.04737217904628"
[1] "303 forecasted vs actual:  6.04010784423516 6.03787091992214"
[1] "304 forecasted vs actual:  6.01001743027742 6.00388706710654"
[1] "305 forecasted vs actual:  5.98904296562842 5.95064255258773"
[1] "306 forecasted vs actual:  5.92789345249273 5.92958914338989"
[1] "307 forecasted vs actual:  5.92936687263714 5.92958914338989"
[1] "308 forecasted vs actual:  5.93390320631958 5.91620206260743"
[1] "309 forecasted vs actual:  5.97511505936191 5.97126183979046"
[1] "310 forecasted vs actual:  6.09564754426076 6.09582456243222"
[1] "311 forecasted vs actual:  6.18664843741761 6.23048144757848"
[1] "312 forecasted vs actual:  6.24281941576064 6.2363695902037"
[1] "313 forecasted vs actual:  6.19076162901172 6.19440539110467"
[1] "314 forecasted vs actual:  6.11331144311199 6.12249280951439"
[1] "315 forecasted vs actual:  5.98829826407607 5.99893656194668"
[1] "316 forecasted vs actual:  5.84891291888969 5.84643877505772"
[1] "317 forecasted vs actual:  5.72532822447441 5.73334127689775"
[1] "318 forecasted vs actual:  5.65948844466776 5.65948221575962"
[1] "319 forecasted vs actual:  5.62448879269804 5.64544689764324"
[1] "320 forecasted vs actual:  5.63666339164643 5.63121178182137"
[1] "321 forecasted vs actual:  5.6396845494996 5.64190707093811"
[1] "322 forecasted vs actual:  5.69153955252984 5.7037824746562"
[1] "323 forecasted vs actual:  5.83487703816276 5.82894561761021"
[1] "324 forecasted vs actual:  5.95692086277001 5.94017125272043"
[1] "325 forecasted vs actual:  5.99082139821446 5.99396142730657"
[1] "326 forecasted vs actual:  6.01817898985487 6.00881318544259"
[1] "327 forecasted vs actual:  6.01139695084372 5.99893656194668"
[1] "328 forecasted vs actual:  5.97903228388378 5.95324333428778"
[1] "329 forecasted vs actual:  5.93659169363447 5.91889385427315"
[1] "330 forecasted vs actual:  5.90905058028944 5.89715386763674"
[1] "331 forecasted vs actual:  5.90449413329751 5.85507192220243"
[1] "332 forecasted vs actual:  5.85516274639838 5.87773578177964"
[1] "333 forecasted vs actual:  5.94374152690549 5.93224518744801"
[1] "334 forecasted vs actual:  6.06967532165576 6.06145691892802"
[1] "335 forecasted vs actual:  6.15876310209416 6.22257626807137"
[1] "336 forecasted vs actual:  6.24547705258845 6.22851100359118"
[1] "337 forecasted vs actual:  6.18544903811581 6.19440539110467"
[1] "338 forecasted vs actual:  6.10936848516331 6.10479323241498"
[1] "339 forecasted vs actual:  5.97222533251835 5.97380961186926"
[1] "340 forecasted vs actual:  5.82612208911889 5.82600010738045"
[1] "341 forecasted vs actual:  5.70244694473472 5.72031177660741"
[1] "342 forecasted vs actual:  5.65534141274807 5.65948221575962"
[1] "343 forecasted vs actual:  5.62633499555234 5.62762111369064"
[1] "344 forecasted vs actual:  5.61515155303874 5.62040086571715"
[1] "345 forecasted vs actual:  5.6286585751159 5.64190707093811"
[1] "346 forecasted vs actual:  5.69889265196082 5.70044357339069"
[1] "347 forecasted vs actual:  5.82796211428303 5.82894561761021"
[1] "348 forecasted vs actual:  5.95581107546002 5.94017125272043"
[1] "349 forecasted vs actual:  5.99310771821801 6.00635315960173"
[1] "350 forecasted vs actual:  6.03335559911257 5.99893656194668"
[1] "351 forecasted vs actual:  5.99223786100814 5.97380961186926"
[1] "352 forecasted vs actual:  5.95890175771116 5.94017125272043"
[1] "353 forecasted vs actual:  5.92825488273512 5.90808293816893"
[1] "354 forecasted vs actual:  5.89687283967134 5.88610403145016"
[1] "355 forecasted vs actual:  5.88666359454976 5.86929691313377"
[1] "356 forecasted vs actual:  5.88175025221404 5.8805329864007"
[1] "357 forecasted vs actual:  5.9394249700534 5.93753620508243"
[1] "358 forecasted vs actual:  6.07290592960777 6.07073772800249"
[1] "359 forecasted vs actual:  6.17208913553663 6.22257626807137"
[1] "360 forecasted vs actual:  6.24138339921649 6.2363695902037"
[1] "361 forecasted vs actual:  6.20038234742598 6.21060007702465"
[1] "362 forecasted vs actual:  6.13370177650568 6.11146733950268"
[1] "363 forecasted vs actual:  5.97571300805014 5.98141421125448"
[1] "364 forecasted vs actual:  5.83322936908524 5.84354441703136"
[1] "365 forecasted vs actual:  5.72517543708109 5.7268477475872"
[1] "366 forecasted vs actual:  5.65631650462555 5.65599181081985"
[1] "367 forecasted vs actual:  5.6177514716547 5.63478960316925"
[1] "368 forecasted vs actual:  5.62364618526708 5.62762111369064"
[1] "369 forecasted vs actual:  5.63903874155039 5.63121178182137"
[1] "370 forecasted vs actual:  5.68220154804614 5.69035945432406"
[1] "371 forecasted vs actual:  5.81700942782024 5.8171111599632"
[1] "372 forecasted vs actual:  5.94475931387783 5.92425579741453"
[1] "373 forecasted vs actual:  5.97777360671765 5.97635090929793"
[1] "374 forecasted vs actual:  6.00030766694732 6.00141487796115"
[1] "375 forecasted vs actual:  6.00407205745973 5.99146454710798"
[1] "376 forecasted vs actual:  5.9712617299603 5.96870755998537"
[1] "377 forecasted vs actual:  5.9519705215999 5.9427993751267"
[1] "378 forecasted vs actual:  5.92888909404805 5.91620206260743"
[1] "379 forecasted vs actual:  5.91159427895139 5.8805329864007"
[1] "380 forecasted vs actual:  5.8839598987909 5.88610403145016"
[1] "381 forecasted vs actual:  5.94106702523552 5.93489419561959"
[1] "382 forecasted vs actual:  6.07009591745758 6.06378520868761"
[1] "383 forecasted vs actual:  6.16917819836075 6.20859002609663"
[1] "384 forecasted vs actual:  6.22228498715074 6.22059017009974"
[1] "385 forecasted vs actual:  6.18556825260299 6.18414889093748"
[1] "386 forecasted vs actual:  6.0940595140136 6.09356977004514"
[1] "387 forecasted vs actual:  5.9666627440229 5.98141421125448"
[1] "388 forecasted vs actual:  5.8432842600784 5.82600010738045"
[1] "389 forecasted vs actual:  5.70147857052067 5.7037824746562"
[1] "390 forecasted vs actual:  5.63486557027241 5.65248918026865"
[1] "391 forecasted vs actual:  5.62442287732526 5.62401750618734"
[1] "392 forecasted vs actual:  5.60803808138205 5.62401750618734"
[1] "393 forecasted vs actual:  5.64092551056414 5.64897423816121"
[1] "394 forecasted vs actual:  5.70166989866994 5.6937321388027"
[1] "395 forecasted vs actual:  5.81288681451997 5.8171111599632"
[1] "396 forecasted vs actual:  5.93800512669471 5.92692602597041"
[1] "397 forecasted vs actual:  5.98144358173785 5.98896141688986"
[1] "398 forecasted vs actual:  6.01790383838699 5.96357934361845"
[1] "399 forecasted vs actual:  5.94869725338203 5.93224518744801"
[1] "400 forecasted vs actual:  5.90999958793869 5.90263333340137"
[1] "401 forecasted vs actual:  5.89159270180605 5.88332238848828"
[1] "402 forecasted vs actual:  5.89025133432637 5.8636311755981"
[1] "403 forecasted vs actual:  5.86198352550096 5.8348107370626"
[1] "404 forecasted vs actual:  5.84516227474499 5.84932477994686"
[1] "405 forecasted vs actual:  5.91239141568897 5.91620206260743"
[1] "406 forecasted vs actual:  6.04676603786899 6.04025471127741"
[1] "407 forecasted vs actual:  6.1453796009506 6.20455776256869"
[1] "408 forecasted vs actual:  6.22769498014512 6.20657592672493"
[1] "409 forecasted vs actual:  6.15018829378459 6.16541785423142"
[1] "410 forecasted vs actual:  6.071359589545 6.08449941307517"
[1] "411 forecasted vs actual:  5.95631287333057 5.95583736946483"
[1] "412 forecasted vs actual:  5.80590978917163 5.82008293035236"
[1] "413 forecasted vs actual:  5.70614784530843 5.70044357339069"
[1] "414 forecasted vs actual:  5.6336954663225 5.63835466933375"
[1] "415 forecasted vs actual:  5.60901528597539 5.60947179518496"
[1] "416 forecasted vs actual:  5.59724080881859 5.59471137960184"
[1] "417 forecasted vs actual:  5.60814926558234 5.605802066296"
[1] "418 forecasted vs actual:  5.66169841930227 5.62762111369064"
[1] "419 forecasted vs actual:  5.74662753301671 5.71702770140622"
[1] "420 forecasted vs actual:  5.83926458333094 5.8171111599632"
[1] "421 forecasted vs actual:  5.87695092617079 5.93224518744801"
[1] "422 forecasted vs actual:  5.97964136534128 5.99645208861902"
[1] "423 forecasted vs actual:  5.99822043586497 6.01126717440416"
[1] "424 forecasted vs actual:  5.98880289803745 6.0282785202307"
