,"""x"""
431,0.143023227
432,0.266255601
433,0.562702195
434,0.170465843
435,0.654012476
436,0.538174779
437,-0.142837255
438,0.161390527
439,0.332026432
440,0.063884341
441,0.246397155
442,0.006796097
443,0.098335345
444,-1.17E-07
445,0.466758458
446,0.002072532
447,0.084208572
448,-0.000344628
449,1.646287537
450,0.155336418
451,0.219488591
452,5.95E-07
453,0.314908564
454,0.118193547
455,0.545338532
456,0.000392993
457,0.054704417
458,1.146441586
459,0.108346386
460,0.067447963
461,0.108293517
462,0.087433739
463,-0.204947222
464,-0.012605188
465,2.18574916
466,-0.00310534
467,2.468583207
468,0.015832202
469,-0.032441767
470,2.528400432
471,-0.286574635
472,-0.016008969
473,0.000345702
474,-0.029067029
475,2.687269471
476,0.066124155
477,2.060845476
478,0.14986249
479,0.993836768
480,0.032849364
481,0.099189468
482,0.025215201
483,0.072674704
484,-0.001256417
485,0.069459001
486,-1.827628906
487,0.004033525
488,0.182014036
489,-0.101113745
490,5.411056604
491,-0.829390665
492,0.425867629
493,0.849584362
494,6.219840201
495,10.53017411
496,2.755010499
497,0.052996622
498,5.178854688
499,10.07908092
500,7.708795078
501,-1.748603175
502,3.731923771
503,52.82889739
504,26.40859422
505,27.72909704
506,22.03150459
507,4.116039153
508,0.344490995
509,0.367972694
510,0.369843706
511,0.376318429
512,0.31594616
513,0.331452837
514,0.322680522
515,0.32801584
516,0.313379475
517,0.288534034
518,-0.325651918
519,0.300094523
520,0.316670078
521,0.315579413
522,0.292294491
523,0.290741929
524,0.307980092
525,7.027496087
526,-0.066687441
527,0.352561055
528,0.333987792
529,0.305263052
530,0.281045803
531,0.252415062
532,0.289442745
533,0.240812627
534,0.23819529
535,0.247095307
536,0.269704936
537,0.271921759
538,0.239113693
539,0.231041341
540,0.234491083
541,0.228685328
542,0.206744475
543,0.192056061
544,0.191182291
545,0.191755144
546,0.190922137
547,0.192669069
548,0.200974893
549,0.200976971
550,0.207718625
551,0.153118638
552,0.193219701
553,0.168127628
554,0.038712014
555,0.000684974
556,0.202057293
557,0.177370341
558,0.096293527
559,0.150140593
560,0.148127998
561,0.145113327
562,0.137686427
563,0.134485562
564,0.126756655
565,0.115461657
566,0.102113924
567,0.167142016
568,0.153442048
569,0.084038742
570,0.044295885
571,0.061587426
572,0.020042207
573,0.006848144
574,0.040340569
575,0.053378319
576,0.066152905
577,0.085628808
578,0.103771032
579,0.122472126
580,0.136377164
581,0.141535863
582,0.13433233
583,0.122183768
584,0.107833601
585,0.108628095
586,0.103352288
587,0.099748331
588,0.09858596
589,0.09985605
590,0.104936543
591,0.113829958
592,0.110313297
593,0.082664806
594,0.029299353
595,0.069629859
596,0.170751502
597,0.066314603
598,0.166757355
599,0.131701601
600,0.119095466
601,0.12163519
602,0.119565884
603,0.123983616
604,0.137104268
605,0.120237631
606,0.138191771
607,0.191737085
608,0.104625045
609,0.11880947
610,0.130290962
611,0.124243445
612,0.091737796
613,0.057154649
614,0.037507949
615,0.025351539
616,0.018295613
617,0.014249873
618,0.012377431
619,0.012296733
620,0.014703784
621,0.021776465
622,0.044387647
623,0.070104246
624,0.054600526
625,0.051013708
626,0.077819772
627,0.093275265
628,0.069497131
629,0.052751175
630,0.040037545
631,0.030656545
632,0.025429614
633,0.023734184
634,0.026279362
635,0.032976058
636,0.046457857
637,0.061809202
638,0.035764948
639,0.094659819
640,0.010700679
641,0.002060001
642,0.968130457
643,0.881159242
644,1.200441488
645,0.00045774
646,0.000231845
647,0.010914488
648,0.045391589
649,0.018682736
650,0.044282413
651,0.106425018
652,0.051949636
653,0.031281621
654,0.018323453
655,0.010338232
656,0.00582591
657,0.003598216
658,0.004303451
659,0.054027735
660,0.043528316
661,0.875283999
662,-0.557059226
663,-0.535268586
664,0.052364359
665,0.079812811
666,0.012600535
667,0.018049505
668,2.32E-05
669,0.020435963
670,0.027865542
671,5.34E-08
672,-0.424597779
673,-0.511213559
674,-0.034751384
675,3.166484922
676,2.649017287
677,1.71495521580472e-316
678,1.286729613
679,0.005982694
680,-1.232574357
681,-1.22639242
682,-1.490572828
683,-3.053995892
684,-3.021383121
685,-4.458946846
686,-4.229753034
687,-1.49352592
688,-2.447825871
689,-1.14517292
690,-1.28759605
691,0.053137086
692,0.060222603
693,0.080755505
694,0.025928012
695,0.064546853
696,0.066777356
697,-1.038752174
698,-0.781121615
699,0.096243338
700,0.043728937
701,0.082842487
702,0.073302633
703,0.031624046
704,0.376721425
705,0.932645635
706,-0.16851461
707,-0.288317205
708,-0.089501453
