,x,
101,2.097970887,2.089905111
102,2.070264643,2.071882007
103,2.064895213,2.06069784
104,2.059188882,2.056904851
105,2.057176777,2.056904851
106,2.069963455,2.056904851
107,2.100716659,2.068185862
108,2.113532413,2.079181246
109,2.090774865,2.096910013
110,2.115869737,2.113943352
111,2.121278002,2.117271296
112,2.115234244,2.113943352
113,2.109591811,2.117271296
114,2.116566028,2.113943352
115,2.103010254,2.11058971
116,2.103100757,2.10720997
117,2.119173987,2.113943352
118,2.138896544,2.149219113
119,2.163621014,2.181843588
120,2.189240489,2.184691431
121,2.173147697,2.176091259
122,2.148912289,2.158362492
123,2.123290317,2.133538908
124,2.100495188,2.103803721
125,2.083853094,2.079181246
126,2.059276392,2.068185862
127,2.062739897,2.056904851
128,2.052164121,2.056904851
129,2.059125111,2.06069784
130,2.071903137,2.08278537
131,2.133748819,2.136720567
132,2.192933803,2.201397124
133,2.224655642,2.220108088
134,2.220599974,2.23299611
135,2.236683555,2.235528447
136,2.234764407,2.235528447
137,2.232827404,2.23299611
138,2.229795596,2.230448921
139,2.223654225,2.222716471
140,2.21341218,2.204119983
141,2.206779968,2.181843588
142,2.196943949,2.225309282
143,2.252101553,2.247973266
144,2.247307998,2.247973266
145,2.235938043,2.238046103
146,2.213799416,2.209515015
147,2.170668239,2.170261715
148,2.129399621,2.130333768
149,2.108324874,2.10720997
150,2.09211631,2.096910013
151,2.091215221,2.089905111
152,2.086914127,2.089905111
153,2.091128007,2.089905111
154,2.09983452,2.10720997
155,2.152962486,2.155336037
156,2.205858477,2.214843848
157,2.237963644,2.235528447
158,2.241805244,2.243038049
159,2.239297305,2.238046103
160,2.233162717,2.235528447
161,2.232345578,2.23299611
162,2.226486897,2.230448921
163,2.223081184,2.222716471
164,2.212060477,2.206825876
165,2.21216775,2.209515015
166,2.237677806,2.23299611
167,2.246379394,2.252853031
168,2.251974286,2.250420002
169,2.24052464,2.238046103
170,2.210265069,2.212187604
171,2.175463269,2.176091259
