,x,
132,2.591776529,2.59439255
133,2.612974359,2.614897216
134,2.616392368,2.629409599
135,2.629379043,2.631443769
136,2.619147113,2.624282096
137,2.609928823,2.618048097
138,2.617391868,2.614897216
139,2.611643956,2.612783857
140,2.611015808,2.607455023
141,2.636866659,2.598790507
142,2.64645249,2.668385917
143,2.709188876,2.712649702
144,2.709072086,2.712649702
145,2.69314168,2.696356389
146,2.660447792,2.654176542
147,2.596633591,2.595496222
148,2.532246337,2.530199698
149,2.478942191,2.482873584
150,2.452844783,2.45331834
151,2.440615578,2.440909082
152,2.436514156,2.437750563
153,2.440759533,2.447158031
154,2.471934661,2.477121255
155,2.534935729,2.539076099
156,2.596375985,2.602059991
157,2.627262901,2.621176282
158,2.622606155,2.625312451
159,2.622286194,2.622214023
160,2.612279045,2.614897216
161,2.605051433,2.609594409
162,2.6088216,2.606381365
163,2.605125781,2.604226053
164,2.605061926,2.600972896
165,2.629223201,2.618048097
166,2.670164798,2.671172843
167,2.707704691,2.71432976
168,2.716135365,2.710963119
169,2.690155009,2.691081492
170,2.656947924,2.652246341
171,2.594401315,2.597695186
172,2.534093144,2.536558443
173,2.483864147,2.482873584
174,2.449636011,2.463892989
175,2.450216226,2.450249108
176,2.440385202,2.444044796
177,2.44400135,2.445604203
178,2.466806526,2.477121255
179,2.533971696,2.542825427
180,2.598245371,2.608526034
181,2.633330259,2.625312451
182,2.625630527,2.632457292
183,2.633553971,2.62838893
184,2.61759543,2.621176282
185,2.611984909,2.615950052
186,2.614747042,2.615950052
187,2.614026851,2.614897216
188,2.614832927,2.615950052
189,2.64354297,2.629409599
190,2.678133447,2.675778342
191,2.709268417,2.719331287
192,2.720556531,2.719331287
193,2.697814571,2.702430536
194,2.668385054,2.666517981
195,2.60920866,2.608526034
196,2.542783144,2.542825427
197,2.488046441,2.494154594
198,2.465142378,2.465382851
199,2.449805243,2.451786436
200,2.445597307,2.450249108
201,2.454535294,2.45331834
202,2.478579436,2.485721426
203,2.543607147,2.545307116
204,2.599155417,2.603144373
205,2.628109296,2.613841822
206,2.615499098,2.614897216
207,2.617205294,2.606381365
208,2.598098074,2.59439255
209,2.586546586,2.584331224
210,2.586259129,2.579783597
211,2.580432589,2.575187845
212,2.577497931,2.574031268
213,2.603114959,2.592176757
214,2.650235681,2.651278014
215,2.692464621,2.704150517
216,2.708288546,2.705007959
217,2.683418003,2.691965103
218,2.654528263,2.658011397
219,2.600918474,2.600972896
220,2.534726716,2.542825427
221,2.493407879,2.495544338
222,2.463431951,2.46834733
223,2.453601884,2.45484486
224,2.447967166,2.45331834
225,2.458599512,2.457881897
226,2.482652402,2.485721426
227,2.54464558,2.545307116
228,2.602065051,2.606381365
229,2.626903328,2.631443769
230,2.639925948,2.63748973
231,2.63513476,2.631443769
232,2.621421587,2.622214023
233,2.618488246,2.611723308
234,2.610219888,2.607455023
